n_timesteps,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,LossAfter,ItrTime,Time-Sampling,train-EnvExecTime,Itr,Time-SampleProc,train-MinReturn,Time,train-MaxReturn,LossBefore,Time-Optimization,train-NumTrajs,train-PolicyExecTime
780000,135.1579341595091,237.73707875247175,9.661827246925041,0.0014945831,17.553993225097656,17.283995628356934,2.8826866149902344,77,0.02499842643737793,201.76251846232955,1420.2256989479065,256.79913233620846,-6.8021345e-06,0.24499917030334473,100,14.13196063041687
790000,135.95697770394906,239.260029768195,9.48831156090408,0.005890264,17.574990034103394,17.310992002487183,2.8629391193389893,78,0.020999908447265625,213.76267507365847,1437.8136913776398,258.21846712617497,-6.719998e-06,0.24199843406677246,100,14.190980911254883
800000,135.23495745361922,237.49048218633286,9.793058908526927,0.008758506,17.756993293762207,17.46099328994751,2.955965518951416,79,0.023000240325927734,218.90181651650363,1455.5836849212646,260.3697521577814,-6.658015e-06,0.27199864387512207,100,14.235737085342407
810000,135.74101128101967,238.89306131682858,10.140913351124112,0.0012829796,17.68499445915222,17.41899275779724,2.885362148284912,80,0.02497124671936035,205.5045881381835,1473.2816791534424,258.16380439876207,-6.5941485e-06,0.24000287055969238,100,14.291741371154785
820000,134.85491468304946,237.70348603257295,11.387220548666095,-0.0032571708,17.473991632461548,17.211023569107056,2.854020595550537,81,0.01996922492980957,199.22703465844003,1490.7696709632874,260.5798973074851,-6.5513286e-06,0.24299883842468262,100,14.093632936477661
830000,137.18791487717627,242.36963189007548,11.686635106200608,-0.0022057851,17.653991222381592,17.385019779205322,2.8547377586364746,82,0.026970863342285156,195.76638002548924,1508.4376635551453,263.9538287568435,-6.4761043e-06,0.24200057983398438,100,14.222730875015259
840000,137.37016072160156,242.42098128065493,8.825902326668603,-0.0026915297,17.589991807937622,17.321995735168457,2.916429042816162,83,0.023998022079467773,203.22955398331496,1526.0406560897827,258.9961515680367,-6.3785487e-06,0.24299836158752441,100,14.15004587173462
850000,138.15485329129876,244.25659277411268,9.45637498993143,-0.004319982,17.695993900299072,17.42699670791626,2.9069576263427734,84,0.020996570587158203,223.24827915354683,1543.7496492862701,260.90878783259154,-6.2819818e-06,0.2480006217956543,100,14.258792400360107
860000,137.5520080207929,242.99219166941177,11.118897681759163,-0.0031111795,17.575993299484253,17.29601764678955,2.9137487411499023,85,0.02597522735595703,199.92991119189273,1561.3386442661285,263.0777948855023,-6.2222316e-06,0.2540004253387451,100,14.123189449310303
870000,139.2300944757847,246.59706480271458,8.600635706854382,-0.0025103206,17.758995294570923,17.49099564552307,2.942101001739502,86,0.022996187210083008,220.64045237190052,1579.1106374263763,264.98310245492945,-6.139108e-06,0.24300098419189453,100,14.295913457870483
